Id;Lon;Lat;Z_DSM;Bearing;DistanceValue;DistanceUnit;Z_sampled;dZ
362;0;0;90.4015;238.249;6.2805;m;;
363;0;0;90.5999;238.249;5.6372;m;;
364;0;0;90.5999;238.249;6.5891;m;;
365;0;0;90.9272;238.249;5.4268;m;;
366;0;0;90.9272;238.2491;6.5844;m;;
367;0;0;90.9272;238.2491;6.3438;m;;
368;0;0;90.9272;238.2491;5.1872;m;;
369;0;0;90.3277;238.2491;5.2787;m;;
370;0;0;90.3277;238.2491;6.4953;m;;
371;0;0;90.3277;238.2491;6.1928;m;;
372;0;0;90.3277;238.2492;5.2624;m;;
373;0;0;90.7977;238.2492;5.402;m;;
374;0;0;90.7977;238.2492;5.7122;m;;
375;0;0;90.7977;238.2492;5.336;m;;
376;0;0;90.7977;238.2492;6.3463;m;;
377;0;0;90.1107;238.2492;6.4768;m;;
378;0;0;90.1107;238.2493;6.5827;m;;
379;0;0;90.1107;238.2493;5.309;m;;
380;0;0;89.9294;238.2493;5.3521;m;;
381;0;0;89.9294;238.2493;6.7388;m;;
382;0;0;90.0446;238.2493;6.6054;m;;
383;0;0;90.0446;238.2493;6.3769;m;;
384;0;0;90.0446;238.2494;5.9729;m;;
385;0;0;90.0446;238.2494;6.1498;m;;
386;0;0;90.0446;238.2494;5.7161;m;;
387;0;0;90.0446;238.2494;5.3091;m;;
388;0;0;89.4733;238.2494;6.4332;m;;
389;0;-2.98E-05;89.4733;238.2494;5.7326;m;;
390;0;-7.76E-05;89.4733;238.2494;6.2559;m;;
391;-4.78E-05;-0.00010733;89.0527;238.2495;6.2579;m;;
392;0;-0.00010733;89.3073;238.2495;6.3284;m;;
393;0;-2.98E-05;89.3073;238.2495;5.7992;m;;
394;0;0;89.3073;238.2495;6.2368;m;;
395;0;0;89.3073;238.2495;5.5958;m;;
396;0;0;89.3073;238.2495;5.2215;m;;
397;0;0;89.3073;238.2496;6.7225;m;;
398;0;0;89.3073;238.2496;5.5134;m;;
399;0;0;89.25;238.2496;6.1183;m;;
400;0;0;89.25;238.2496;6.5357;m;;
401;0;0;89.25;238.2496;6.5214;m;;
402;0;0;88.9732;238.2496;6.6581;m;;
403;0;0;90.1455;238.2497;6.557;m;;
404;0;0;90.1455;238.2497;6.3277;m;;
405;0;0;90.1455;238.2497;6.0121;m;;
406;0;0;90.1455;238.2497;5.2289;m;;
407;0;0;90.1455;238.2497;6.3849;m;;
408;0;0;90.1455;238.2497;5.2941;m;;
409;0;0;90.1455;238.2497;5.1832;m;;
410;0;0;90.3125;238.2498;6.6511;m;;
411;0;0;90.3125;238.2498;5.187;m;;
412;0;0;90.3482;238.2498;5.7932;m;;
413;0;0;90.3482;238.2498;5.8095;m;;
414;0;0;90.9974;238.2498;6.1911;m;;
415;0;0;90.9974;238.2498;5.1917;m;;
416;0;0;90.9974;238.2499;6.0482;m;;
417;0;0;90.9974;238.2499;5.3665;m;;
418;0;0;90.9974;238.2499;6.2558;m;;
419;0;0;90.9974;238.2499;6.3017;m;;
420;0;0;90.9974;238.2499;5.7059;m;;
421;0;0;90.9974;238.2499;5.6679;m;;
422;0;0;90.7025;238.25;5.9354;m;;
423;0;0;90.7025;238.25;6.1996;m;;
424;0;0;90.7025;238.25;6.7786;m;;
425;0;0;90.7636;238.25;6.7699;m;;
426;0;0;90.7636;238.25;6.4184;m;;
427;0;0;90.7636;238.25;6.5678;m;;
428;0;0;90.7636;238.2501;6.6483;m;;
429;0;0;90.7636;238.2501;5.5327;m;;
430;0;0;90.7636;238.2501;6.0131;m;;
431;0;0;90.7864;238.2501;5.6399;m;;
432;0;0;90.7864;238.2501;5.3765;m;;
433;0;0;91.6599;238.2501;5.2225;m;;
434;0;0;91.6599;238.2501;5.8087;m;;
435;0;0;91.6599;238.2502;6.5199;m;;
436;0;0;91.6599;238.2502;6.5767;m;;
437;0;0;92.0513;238.2502;6.226;m;;
438;0;0;92.0513;238.2502;6.866;m;;
439;0;0;92.0513;238.2502;5.8993;m;;
440;0;0;92.0513;238.2502;6.3403;m;;
441;0;0;91.7441;238.2503;6.6661;m;;
442;0;0;91.7441;238.2503;5.4196;m;;
443;0;0;91.7441;238.2503;5.253;m;;
444;0;0;92.5209;238.2503;6.1263;m;;
445;0;0;92.5209;238.2503;5.2451;m;;
446;0;0;92.5209;238.2503;6.0383;m;;
447;0;0;92.5209;238.2504;5.641;m;;
448;0;0;93.5816;238.2504;5.9232;m;;
449;0;0;93.5816;238.2504;5.7241;m;;
450;0;0;93.5816;238.2504;6.7685;m;;
451;0;0;93.7598;238.2504;5.9786;m;;
452;0;0;93.7598;238.2504;5.7573;m;;
453;0;-3.16E-05;93.7598;238.2504;5.6266;m;;
454;0;-8.24E-05;93.7598;238.2505;6.6471;m;;
455;-5.08E-05;-0.00011404;93.7598;238.2505;6.642;m;;
456;0;-0.00011404;93.1027;238.2505;5.5307;m;;
457;0;-3.16E-05;93.1027;238.2505;6.4092;m;;
458;0;0;93.1027;238.2505;6.4908;m;;
459;0;0;92.7085;238.2505;5.7474;m;;
460;0;0;92.7085;238.2506;5.6568;m;;
461;0;0;92.9886;238.2506;6.1317;m;;
462;0;0;92.9886;238.2506;6.5511;m;;
463;0;0;92.9886;238.2506;6.5623;m;;
464;0;0;92.9886;238.2506;5.7905;m;;
465;0;0;92.9886;238.2506;6.5941;m;;
466;0;0;92.9886;238.2507;5.9215;m;;
467;0;0;93.5151;238.2507;6.0495;m;;
468;0;0;93.5151;238.2507;6.8657;m;;
469;0;0;93.5151;238.2507;6.3204;m;;
470;0;0;93.7274;238.2507;6.0763;m;;
471;0;0;93.7274;238.2507;5.4856;m;;
472;0;0;93.7274;238.2508;6.1982;m;;
473;0;0;93.7274;238.2508;6.1108;m;;
474;0;0;93.7274;238.2508;6.7684;m;;
475;0;0;93.7274;238.2508;5.5464;m;;
476;0;0;93.7274;238.2508;6.6407;m;;
477;0;0;93.7274;238.2508;6.4216;m;;
478;0;0;93.9749;238.2509;5.2618;m;;
479;0;0;93.9749;238.2509;5.5904;m;;
480;0;0;93.533;238.2509;6.165;m;;
481;0;0;93.039;238.2509;6.7949;m;;
482;0;0;93.039;238.2509;6.3342;m;;
